time,id,iq,vd,vq
1733814149369,0,0,0,0
1733814149444,0,0,0,0
1733814149547,0,0,0,0
1733814149649,0,0,0,0
1733814149751,0,0,0,0
1733814149853,0,0,0,0
1733814149955,0,0,0,0
1733814150057,0,0,0,0
1733814150158,0,0,0,0
1733814150261,0,0,0,0
1733814150362,0,0,0,0
1733814150466,0,9532,64428,9310
1733814150570,0,6032,61738,15821
1733814150675,0,63670,65470,6057
1733814150778,0,3572,63364,13435
1733814150882,0,630,65155,12461
1733814150985,0,1468,62817,12056
1733814151090,0,1176,64142,12865
1733814151194,0,1284,63833,12155
1733814151297,0,1456,64583,13102
1733814151402,0,1346,63930,13074
1733814151507,0,1305,120,13060
1733814151609,0,1303,63812,12758
1733814151712,0,1292,63343,12669
1733814151817,0,1414,64680,13007
1733814151921,0,1145,63654,12641
1733814152025,0,1267,64748,12808
1733814152129,0,958,64388,11986
1733814152232,0,1183,64945,12574
1733814152336,0,1086,63204,12026
1733814152440,0,1107,63415,12540
1733814152544,0,1223,64397,12563
1733814152648,0,1275,64086,13029
1733814152753,0,1387,65008,12710
1733814152856,0,1172,65331,12883
1733814152960,0,1414,64081,12795
1733814153065,0,1112,63138,12127
1733814153168,0,1251,63532,12574
1733814153272,0,1006,63219,11986
1733814153376,0,1172,65063,12982
1733814153481,0,1064,63746,12294
1733814153586,0,1367,102,12902
1733814153688,0,1186,63432,12705
1733814153791,0,973,63748,12420
1733814153895,0,1322,64817,12939
1733814153999,0,1069,64210,12637
1733814154103,0,1406,65196,12563
1733814154208,0,1183,64026,13407
1733814154311,0,1338,64296,12772
1733814154415,0,920,63050,11910
1733814154519,0,1205,64330,12704
1733814154624,0,1139,63793,12402
1733814154727,0,1053,64586,12749
1733814154832,0,1256,64873,12970
1733814154935,0,903,65006,12614
1733814155040,0,1333,63820,12736
1733814155144,0,1223,63318,12809
1733814155248,0,1381,64464,12994
1733814155352,0,1126,63018,12402
1733814155455,0,1242,64629,12590
1733814155559,0,939,64045,12072
1733814155663,0,1267,64845,12600
1733814155767,0,1042,63022,12143
1733814155871,0,1175,63166,12788
1733814155976,0,1229,63788,12626
1733814156079,0,1251,64531,13029
1733814156183,0,1403,63675,12682
1733814156287,0,1170,65194,12682
1733814156391,0,1408,64085,12938
1733814156495,0,1123,62816,12394
1733814156599,0,1292,63223,12715
1733814156703,0,1039,63614,12055
1733814156807,0,1205,64771,12807
1733814156911,0,1129,64244,12140
1733814157015,0,1395,65496,12922
1733814157119,0,1309,64139,12634
1733814157223,0,1338,63928,13132
1733814157327,0,1382,63177,12495
1733814157432,0,1268,64264,12731
1733814157535,0,1428,63953,12860
1733814157639,0,1127,63895,12284
1733814157743,0,1404,64770,12679
1733814157847,0,1059,64973,12512
1733814157951,0,1467,63933,12994
1733814158055,0,1184,63928,12362
1733814158159,0,1510,64657,13051
1733814158263,0,1415,63473,12729
1733814158368,0,1333,414,13065
1733814158471,0,1482,63616,12866
1733814158575,0,1732,63664,12282
1733814158679,0,2698,64356,13354
1733814158782,0,2460,64812,13476
1733814158886,0,2002,64740,13017
1733814158991,0,2105,63911,13187
1733814159094,0,1634,64592,12662
1733814159197,0,1616,62934,12707
1733814159303,0,1642,64048,12680
1733814159407,0,1713,64056,12862
1733814159510,0,1319,64465,12925
1733814159614,0,1704,65462,12799
1733814159718,0,1468,64403,12552
1733814159822,0,1712,64024,12996
1733814159926,0,1298,62897,12422
1733814160030,0,1328,63731,12694
1733814160134,0,1088,63223,12066
1733814160238,0,1433,64751,13158
1733814160342,0,1143,64166,12518
1733814160446,0,1430,65353,12919
1733814160550,0,1249,64024,12692
1733814160654,0,1371,63727,13081
1733814160758,0,1390,63004,12430
1733814160862,0,1252,64218,12681
1733814160966,0,1447,63986,12946
1733814161070,0,1154,64372,12276
1733814161174,0,1333,64900,12600
1733814161278,0,988,65004,12361
1733814161382,0,1412,64098,12771
1733814161486,0,1157,62993,12596
1733814161590,0,1455,64397,13014
1733814161694,0,1376,63616,12652
1733814161798,0,1330,65437,12933
1733814161902,0,1034,64395,12346
1733814162006,0,1341,64942,11915
1733814162110,0,1096,63540,12141
1733814162214,0,1293,64297,12407
1733814162318,0,1368,64552,12743
1733814162422,0,1067,64378,12642
1733814162526,0,1488,65308,12811
1733814162630,0,1209,64678,12617
1733814162734,0,1512,64240,11529
1733814162838,0,1216,63280,12524
1733814162942,0,1312,64658,12952
1733814163046,0,1118,63817,12305
1733814163150,0,1271,64603,12742
1733814163254,0,1195,64226,12298
1733814163358,0,1197,65051,12569
1733814163462,0,1298,63181,12589
1733814163566,0,1407,63730,13243
1733814163670,0,1393,64806,12816
1733814163774,0,1257,64297,12793
1733814163878,0,1436,63805,12747
1733814163982,0,1113,64178,12127
1733814164086,0,1363,65055,12820
1733814164190,0,982,64633,12463
1733814164294,0,1388,63998,13074
1733814164398,0,1077,63409,12090
1733814164502,0,1419,64110,12885
1733814164606,0,1344,63536,12633
1733814164711,0,1237,266,12770
1733814164813,0,1366,63544,12872
1733814164917,0,1099,62791,12553
1733814165020,0,1398,64725,12976
1733814165125,0,1300,63611,12735
1733814165229,0,1253,64059,12524
1733814165333,0,969,64225,12077
1733814165437,0,1237,65026,12546
1733814165541,0,1064,63815,11876
1733814165645,0,1126,63416,12512
1733814165749,0,1248,64128,12578
1733814165853,0,944,64907,12837
1733814165957,0,1376,65340,12768
1733814166061,0,1189,64493,12501
1733814166164,0,1414,63911,12955
1733814166268,0,1120,62817,12571
1733814166373,0,1223,64016,12388
1733814166476,0,1001,63845,12072
1733814166580,0,1191,64622,12968
1733814166685,0,1064,64486,12138
1733814166789,0,1387,64840,12658
1733814166893,0,1197,63972,12610
1733814166997,0,1267,63768,12837
1733814167101,0,1365,62812,12529
1733814167205,0,1200,64382,12739
1733814167309,0,1370,63962,12746
1733814167412,0,1047,64359,12459
1733814167517,0,1322,64986,12773
1733814167621,0,903,64938,12430
1733814167725,0,1327,63869,13094
1733814167828,0,1093,63274,12363
1733814167933,0,1305,64644,12865
1733814168036,0,1259,63426,12378
1733814168141,0,1215,34,12777
1733814168244,0,1314,63791,12733
1733814168348,0,1237,63327,12689
1733814168452,0,1322,64909,12835
1733814168556,0,1112,63694,12641
1733814168660,0,1248,64223,12376
1733814168764,0,881,64403,11976
1733814168868,0,1245,64850,12673
1733814168972,0,1064,62862,12156
1733814169076,0,1109,63545,12487
1733814169180,0,1221,63991,12546
1733814169284,0,1242,64577,13096
1733814169388,0,1378,65101,12804
1733814169492,0,1161,65121,12647
1733814169596,0,1406,64111,12654
1733814169700,0,1107,63162,12095
1733814169804,0,1226,63485,12706
1733814169907,0,1001,64107,12053
1733814170011,0,1142,64963,12843
1733814170115,0,1064,64303,12590
1733814170221,0,1392,120,12822
1733814170323,0,1178,63553,12730
1733814170427,0,1036,64168,12446
1733814170530,0,1289,64174,12808
1733814170634,0,1096,64227,12545
1733814170739,0,1321,249,13035
1733814170841,0,1200,62942,12578
1733814170945,0,1297,64080,12829
1733814171049,0,1303,64914,12756
1733814171153,0,1167,63852,12730
1733814171258,0,1395,65046,12847
1733814171361,0,1047,64474,12643
1733814171466,0,1305,64505,12739
1733814171569,0,930,62660,11934
1733814171674,0,1194,65417,12080
1733814171777,0,1101,63629,12167
1733814171882,0,1069,64382,12588
1733814171986,0,1237,64708,12525
1733814172091,0,1221,213,12801
1733814172192,0,1283,63963,13063
1733814172297,0,1085,63573,12368
1733814172401,0,1365,64446,13004
1733814172505,0,1270,63510,12399
1733814172609,0,1215,133,13074
1733814172712,0,1297,63580,13023
1733814172815,0,1134,63292,12471
1733814172919,0,1303,64221,12962
1733814173023,0,1112,62838,12030
1733814173127,0,1237,64661,12643
1733814173231,0,961,64333,11765
1733814173335,0,1215,64862,12822
1733814173440,0,1001,63091,11802
1733814173543,0,1101,62892,12842
1733814173648,0,1232,64201,12571
1733814173751,0,1232,64562,13092
1733814173856,0,1395,65090,12703
1733814173960,0,1175,64865,12667
1733814174063,0,1398,64153,12980
1733814174168,0,1117,62799,12453
1733814174271,0,1175,63331,12651
1733814174375,0,1064,63335,12113
1733814174480,0,1175,64712,12845
1733814174582,0,1050,62338,10362
1733814174689,0,1365,154,13046
1733814174791,0,1186,63730,12454
1733814174895,0,973,63826,12473
1733814174998,0,1395,64346,12972
1733814175102,0,1066,64896,13161
1733814175207,0,1362,36,12869
1733814175309,0,1153,63050,12462
1733814175413,0,1308,64098,13023
1733814175517,0,1311,64541,12777
1733814175621,0,1170,63793,12764
1733814175725,0,1400,63972,12582
1733814175829,0,1045,64400,12665
1733814175932,0,1305,64758,12548
1733814176037,0,1017,62326,12068
1733814176142,0,1202,63685,12811
1733814176245,0,1036,62804,12127
1733814176349,0,1384,64715,13105
1733814176453,0,1262,63894,12795
1733814176558,0,1248,78,13053
1733814176660,0,1300,63827,12848
1733814176764,0,1055,63280,12417
1733814176868,0,1365,64330,12956
1733814176972,0,1278,63701,12725
1733814177076,0,1248,65425,12775
1733814177180,0,947,64326,12071
1733814177284,0,1237,64954,12026
1733814177388,0,1064,63610,12248
1733814177492,0,1117,63460,12559
1733814177596,0,1232,64015,12508
1733814177700,0,876,64363,12583
1733814177805,0,1381,65476,12686
1733814177908,0,1194,64531,12094
1733814178012,0,1384,64004,13163
1733814178116,0,1134,63087,12411
1733814178220,0,1210,64866,12081
1733814178324,0,1006,63415,12037
1733814178428,0,1164,64286,12788
1733814178531,0,1042,64633,12229
1733814178636,0,1142,64776,12279
1733814178740,0,1194,64142,12697
1733814178844,0,1319,63784,13366
1733814178948,0,1305,62871,12541
1733814179052,0,1202,64034,12682
1733814179156,0,1359,63990,12712
1733814179260,0,1066,64223,12211
1733814179363,0,1245,64688,12527
1733814179468,0,976,64704,12515
1733814179572,0,1286,64176,12935
1733814179676,0,1071,63151,12449
1733814179780,0,1389,64686,13035
1733814179884,0,1240,63449,12567
1733814179989,0,1234,230,12845
1733814180091,0,0,0,0
1733814180193,0,0,0,0
1733814180295,0,0,0,0
1733814180397,0,0,0,0
1733814180499,0,0,0,0
1733814180601,0,0,0,0
1733814180702,0,0,0,0
1733814180805,0,0,0,0
1733814180907,0,0,0,0
1733814181009,0,0,0,0
1733814181111,0,0,0,0
1733814181212,0,0,0,0
1733814181315,0,0,0,0
1733814181417,0,0,0,0
1733814181519,0,0,0,0
1733814181621,0,0,0,0
1733814181723,0,0,0,0
1733814181825,0,0,0,0
1733814181927,0,0,0,0
1733814182029,0,0,0,0
1733814182131,0,0,0,0
1733814182233,0,0,0,0
1733814182335,0,0,0,0
1733814182437,0,0,0,0
1733814182539,0,0,0,0
1733814182641,0,0,0,0
1733814182743,0,0,0,0
1733814182845,0,0,0,0
1733814182946,0,0,0,0
1733814183049,0,0,0,0
1733814183151,0,0,0,0
1733814183252,0,0,0,0
1733814183355,0,0,0,0
1733814183457,0,0,0,0
1733814183559,0,0,0,0
1733814183661,0,0,0,0
1733814183762,0,0,0,0
1733814183865,0,0,0,0
1733814183967,0,0,0,0
1733814184069,0,0,0,0
1733814184171,0,0,0,0
1733814184273,0,0,0,0
1733814184375,0,0,0,0
1733814184476,0,0,0,0
1733814184578,0,0,0,0
1733814184680,0,0,0,0
1733814184782,0,0,0,0
1733814184885,0,0,0,0
1733814184987,0,0,0,0
1733814185089,0,0,0,0
1733814185191,0,0,0,0
1733814185293,0,0,0,0
1733814185394,0,0,0,0
1733814185497,0,0,0,0
1733814185599,0,0,0,0
1733814185701,0,0,0,0
1733814185802,0,0,0,0
1733814185904,0,0,0,0
1733814186007,0,0,0,0
1733814186108,0,0,0,0
1733814186211,0,0,0,0
1733814186313,0,0,0,0
1733814186415,0,0,0,0
1733814186517,0,0,0,0
1733814186618,0,0,0,0
1733814186721,0,0,0,0
1733814186822,0,0,0,0
1733814186924,0,0,0,0
1733814187027,0,0,0,0
1733814187129,0,0,0,0
1733814187231,0,0,0,0
1733814187332,0,0,0,0
1733814187434,0,0,0,0
1733814187537,0,0,0,0
1733814187638,0,0,0,0
1733814187741,0,0,0,0
1733814187842,0,0,0,0
1733814187944,0,0,0,0
1733814188047,0,0,0,0
1733814188149,0,0,0,0
1733814188251,0,0,0,0
1733814188353,0,0,0,0
1733814188455,0,0,0,0
1733814188557,0,0,0,0
1733814188659,0,0,0,0
1733814188760,0,0,0,0
1733814188863,0,0,0,0
1733814188965,0,0,0,0
1733814189067,0,0,0,0
1733814189169,0,0,0,0
1733814189271,0,0,0,0
1733814189373,0,0,0,0
1733814189684,0,0,0,0
1733814189787,0,0,0,0
1733814189888,0,0,0,0
1733814189990,0,0,0,0
1733814190092,0,0,0,0
1733814190194,0,0,0,0
1733814190296,0,0,0,0
1733814190398,0,0,0,0
1733814190499,0,0,0,0
1733814190601,0,0,0,0
1733814190704,0,0,0,0
1733814190808,0,9532,176,6789
1733814190910,0,9532,61790,16008
1733814191015,0,61704,153,5979
1733814191118,0,2786,63113,10929
1733814191222,0,495,63630,13524
1733814191325,0,1292,63791,12168
1733814191429,0,1243,64268,13003
1733814191533,0,915,63527,12345
1733814191637,0,1190,64530,12425
